單位,IP
3,111.82.230.123
3,112.104.144.96
4,61.70.254.53
1,1.169.19.35
3,223.136.135.80
4,122.118.42.248
3,140.113.250.41
3,140.113.250.41
3,220.143.91.194
5,180.176.96.112
0,101.13.198.229
0,1.163.15.177
4,42.72.31.104
3,118.167.121.19
4,111.184.76.25
5,1.167.134.249
3,220.136.78.187
0,118.168.74.226
1,36.224.218.194
4,111.184.76.25
4,115.43.179.133
5,220.129.118.56
5,220.132.39.13
5,118.167.152.152
1,111.251.241.30
2,115.43.79.102
1,42.76.109.144
2,220.136.153.38
5,118.167.152.152
0,1.171.227.86
3,223.136.135.80
0,192.83.187.249
4,115.43.179.133
2,140.118.197.127
5,39.9.66.131
5,114.137.184.96
0,223.136.255.78
2,110.28.198.12
3,223.136.135.80
5,150.117.206.19
4,220.136.81.5
3,223.140.37.54
5,122.116.107.224
2,101.138.88.134
5,1.169.225.246
1,123.193.69.190
3,223.136.135.80
4,220.136.81.5
2,1.163.192.122
3,223.140.37.54
4,115.43.179.133
5,203.68.189.125
2,61.58.185.111
1,101.12.3.31
5,220.141.165.15
3,61.228.126.252
2,61.60.61.62
3,123.193.231.163
3,175.180.246.50
3,223.136.135.80
4,123.193.233.13
2,61.60.61.62
1,36.224.218.194
2,118.169.131.219
5,114.137.184.96
2,61.60.61.62
5,39.9.68.211
2,118.166.221.198
5,220.141.165.15
2,218.35.165.77
4,115.43.179.133
2,118.166.221.198
1,114.36.116.214
1,111.250.70.140
5,220.129.118.56
4,123.193.180.75
1,150.117.207.22
0,49.216.226.209
2,118.166.221.198
5,182.235.100.208
4,101.138.140.25
3,123.194.49.154
4,220.136.81.5
4,101.138.140.25
4,220.136.81.5
5,182.235.100.208
1,123.193.69.190
1,220.132.8.164
4,180.176.124.249
2,79.217.111.246
2,79.217.111.246
5,114.36.207.182
5,182.235.100.208
1,113.196.174.254
5,61.228.109.142
0,1.172.104.248
4,111.83.164.249
3,211.22.108.9
1,140.125.41.160
1,125.227.47.221
2,59.124.11.143
3,57.73.161.181
2,59.124.122.73
5,59.124.13.107
4,115.82.56.101
1,220.130.139.12
0,124.218.32.246
2,114.24.53.4
1,210.242.49.73
3,140.112.225.178
1,36.226.3.12
2,223.137.90.72
1,101.14.3.38
4,118.163.2.172
2,42.72.252.24
0,180.217.235.132
0,39.10.160.184
0,111.83.79.239
2,61.218.169.130
3,163.20.242.163
0,223.137.21.222
0,1.172.104.248
2,49.216.134.139
6,140.121.202.166
0,39.10.160.184
2,114.44.118.113
1,42.73.33.75
2,114.24.53.4
3,202.39.243.252
0,223.136.179.110
1,49.217.192.76
0,61.219.172.225
3,49.215.194.50
0,220.128.123.202
3,49.218.22.221
3,202.39.243.252
0,223.137.122.244
3,1.162.210.189
4,101.139.136.111
3,1.171.75.129
5,163.20.243.7
3,1.171.75.129
1,27.247.167.98
0,223.136.219.223
2,101.13.201.160
5,39.8.204.6
3,1.160.2.20
1,111.241.23.243
2,111.241.31.42
0,150.116.171.182
0,180.217.186.17
2,42.79.215.94
5,39.9.68.211
1,180.176.116.82
2,42.79.215.94
3,1.160.2.20
5,39.9.68.211
1,223.140.40.226
2,180.217.129.171
1,111.184.2.38
3,219.71.36.250
1,61.62.102.11
1,101.0.133.246
1,58.115.14.93
2,36.231.53.76
0,101.15.133.161
5,115.43.152.82
0,101.15.133.161
2,223.136.247.109
5,112.104.73.172
1,61.228.142.39
1,111.184.2.38
3,180.176.100.127
1,36.231.239.26
4,1.169.230.95
0,220.136.48.157
1,27.52.196.182
4,118.150.38.254
1,118.168.69.118
4,150.116.170.103
5,59.115.191.160
3,36.231.135.178
5,118.160.220.242
4,122.118.42.248
2,114.36.229.180
2,27.242.108.35
1,150.117.207.5
5,123.192.150.235
2,114.36.229.180
1,220.132.8.164
0,124.109.122.108
2,123.192.197.187
2,182.239.119.42
1,61.228.122.187
2,123.192.197.187
5,42.72.187.145
2,123.192.197.187
1,101.14.5.162
1,114.39.237.28
2,192.192.21.28
2,192.192.21.27
2,42.73.23.39
3,220.128.136.24
5,118.160.92.191
2,39.12.102.64
3,57.73.161.181
0,118.168.199.130
2,223.140.193.45
1,220.130.139.12
5,61.216.154.223
2,150.116.163.28
4,60.251.55.91
1,220.132.8.164
2,61.228.125.215
6,140.121.202.166
3,57.73.161.181
3,118.167.22.102
4,122.118.42.248
0,61.219.172.225
2,39.8.194.238
0,42.72.171.197
3,61.228.37.240
1,220.130.139.12
2,36.231.138.177
1,220.132.8.164
1,114.137.224.30
1,180.217.166.9
1,223.137.143.253
1,203.68.167.118
1,192.192.44.126
0,27.242.139.172
2,60.251.146.64
2,220.132.8.164
3,111.71.97.17
3,223.140.253.169
3,57.73.161.181
1,59.120.52.50
1,31.187.77.12
4,114.42.46.223
1,220.130.139.12
0,27.247.129.52
2,61.218.169.130
1,220.130.139.12
1,59.127.111.167
1,60.250.129.225
2,61.222.120.114
1,220.130.139.12
4,27.246.165.51
1,220.130.139.12
5,210.243.36.104
1,220.130.139.12
3,1.161.138.70
3,150.70.173.49
2,61.218.169.130
2,61.218.169.130
3,114.45.56.210
2,42.76.88.156
3,57.73.161.181
3,111.184.37.20
2,223.137.126.78
2,61.218.165.142
1,118.150.143.84
1,220.130.139.12
0,27.247.129.52
1,116.104.27.33
3,101.138.69.26
3,114.45.56.210
5,61.216.154.223
3,39.9.202.20
4,223.137.222.196
4,1.171.57.160
0,223.137.111.22
6,42.73.147.184
1,223.137.102.3
3,223.136.59.66
4,180.218.27.247
3,36.225.44.46
5,163.20.243.69
1,220.141.165.163
3,114.25.8.170
1,1.34.172.252
2,93.213.206.16
5,223.137.155.186
5,27.246.0.190
5,27.52.199.48
5,223.136.188.154
5,180.204.148.30
5,111.71.39.214
5,223.140.94.158
5,27.246.203.228
5,39.10.6.213
4,114.25.43.174
5,180.218.254.43
4,223.136.90.211
1,36.225.110.96
5,118.161.11.69
1,36.225.110.96
1,113.196.150.70
1,220.137.113.76
5,123.194.186.238
0,180.204.161.244
4,180.176.124.249
4,42.73.10.194
5,111.240.135.73
0,114.35.247.89
2,36.230.215.53
3,182.234.47.23
5,36.227.28.40
2,220.133.141.76
1,113.185.25.5
1,1.171.101.100
0,120.126.246.181
1,150.117.253.43
0,101.138.77.203
5,123.195.55.238
5,1.171.76.81
5,59.115.185.249
1,111.184.2.38
2,111.240.193.144
2,114.43.106.55
5,123.51.167.200
2,118.161.226.9
1,123.192.129.114
0,101.138.77.203
3,114.25.27.118
4,115.43.179.46
4,180.217.191.102
2,115.43.45.113
4,180.217.191.102
6,175.181.253.30
2,27.246.2.127
3,111.243.254.33
3,175.180.234.214
2,27.247.39.119
5,182.235.100.208
5,182.235.100.208
2,220.133.141.76
4,123.193.60.100
3,123.204.173.186
1,180.206.3.86
1,123.193.181.232
1,1.163.68.117
5,61.219.36.36
0,59.115.101.90
5,118.163.88.51
5,49.217.18.40
2,180.217.137.114
5,223.137.128.182
1,101.139.144.52
5,223.137.128.182
4,115.43.179.46
5,61.219.36.81
5,61.219.36.86
1,123.193.17.224
1,220.130.139.12
4,42.73.90.144
4,39.9.70.3
3,57.73.161.181
1,125.227.253.186
3,101.12.134.233
3,220.130.139.12
5,1.161.40.49
2,223.137.145.83
0,101.139.116.40
0,36.225.188.113
0,114.136.188.165
5,182.235.100.208
0,114.136.188.165
1,211.75.72.225
1,211.75.72.225
2,220.130.204.4
3,220.128.136.24
6,140.121.202.166
5,59.124.13.108
1,115.82.152.0
0,211.72.78.145
0,122.147.213.144
3,1.162.223.30
2,223.137.145.83
0,210.71.216.244
3,1.161.160.246
0,211.72.78.145
3,61.228.107.235
6,114.136.64.28
0,223.136.217.172
1,111.250.69.31
1,220.130.139.12
5,223.137.220.206
2,114.137.153.109
4,36.229.136.217
4,223.137.139.32
3,111.240.56.113
2,111.71.41.132
2,220.132.8.164
1,39.9.193.254
0,223.140.18.239
0,39.12.43.200
0,39.10.234.76
1,220.130.139.12
0,39.12.43.200
5,140.119.120.6
4,60.251.55.91
3,114.137.40.227
4,223.136.112.107
2,223.137.173.114
0,122.116.128.104
1,180.217.143.104
5,223.137.159.45
1,180.217.188.193
0,39.9.165.205
4,42.71.5.202
5,61.70.180.15
2,111.71.16.235
1,117.19.117.171
2,59.124.122.73
5,223.140.27.169
1,150.70.173.8
2,120.101.7.51
2,223.140.151.217
5,123.51.167.200
0,223.136.63.209
5,61.216.154.223
2,220.132.8.164
5,61.70.180.15
2,1.163.210.76
3,1.161.160.246
4,61.231.180.229
2,42.73.69.0
2,42.73.69.0
3,27.52.32.245
3,27.52.32.245
1,220.130.139.12
3,114.43.193.88
2,220.132.8.164
2,1.163.188.221
0,59.115.61.102
5,114.136.156.6
5,119.14.80.33
2,140.113.226.144
0,223.136.63.209
5,59.124.13.108
2,220.130.4.113
4,123.193.54.103
4,180.217.154.142
5,210.69.173.254
1,123.193.69.190
4,114.136.19.241
5,220.136.22.134
0,103.3.194.239
2,123.195.169.75
2,220.133.141.76
5,101.9.192.1
5,163.20.243.71
5,119.14.80.33
3,39.10.101.240
3,118.161.81.76
0,36.229.130.237
0,59.115.61.102
4,60.245.65.135
2,123.195.169.75
3,114.43.193.88
2,1.160.140.96
4,1.160.11.116
4,175.181.177.46
3,219.70.118.18
3,118.161.81.76
3,118.161.81.76
4,1.169.109.76
4,218.35.179.252
2,123.193.243.65
2,111.241.31.42
3,114.25.27.118
3,175.180.246.3
4,220.136.194.121
1,1.171.158.66
4,220.229.68.87
0,36.229.130.237
1,180.217.141.238
1,36.227.20.77
1,118.150.173.229
4,1.169.109.76
0,101.13.71.252
4,114.43.246.147
5,220.141.167.98
3,1.161.160.246
5,220.141.167.98
3,114.44.245.25
1,1.163.68.117
4,1.164.91.148
1,114.36.99.101
1,114.36.99.101
4,180.176.124.249
1,118.169.186.186
3,111.243.254.33
6,36.227.19.52
2,111.241.31.42
6,180.176.111.17
4,101.8.193.47
2,150.116.167.133
3,111.243.254.33
4,61.228.245.112
4,101.8.193.47
2,220.136.43.248
2,36.228.15.206
0,27.52.73.215
4,111.251.139.134
0,219.68.236.81
2,115.82.146.16
2,115.82.146.16
2,175.96.83.37
4,111.249.104.247
4,101.139.95.97
2,175.181.185.6
1,60.251.110.202
0,101.12.134.198
2,223.136.18.41
0,1.169.30.66
1,220.130.139.12
0,39.8.40.216
4,111.71.51.237
6,223.140.127.118
3,39.9.235.180
2,180.217.141.33
4,150.116.166.6
5,210.69.173.254
1,115.82.149.206
2,39.9.133.197
0,101.12.134.198
0,123.194.169.165
2,220.132.8.164
0,123.194.169.165
5,180.217.161.108
2,120.101.27.92
2,120.101.27.92
2,101.8.192.115
0,101.14.97.101
3,60.245.12.214
2,180.217.141.33
4,119.14.73.155
2,114.136.167.101
2,110.28.233.205
3,223.139.249.161
1,223.137.249.122
3,117.19.115.104
0,220.134.112.10
5,163.30.151.108
5,223.140.117.125
4,123.192.241.121
1,220.130.139.12
4,210.70.131.254
2,27.246.140.17
4,223.137.165.121
1,36.224.226.162
1,39.9.193.254
4,123.193.20.134
0,111.83.223.103
0,1.160.93.60
3,39.12.225.135
2,36.231.136.81
5,203.68.188.130
1,175.96.82.207
2,1.200.217.10
5,59.124.13.107
4,114.137.224.47
2,223.137.221.245
3,123.51.152.20
0,42.73.220.89
3,101.138.145.60
3,223.136.202.198
0,36.225.21.134
6,114.136.9.126
5,203.68.188.130
4,211.75.189.127
3,114.43.193.88
4,210.70.131.254
5,211.23.76.67
3,61.30.98.123
5,61.228.98.69
2,115.82.65.83
5,27.247.135.102
2,223.140.71.24
1,36.227.78.37
2,36.235.105.239
3,49.159.149.148
3,49.159.149.148
3,49.159.149.148
1,114.136.107.217
4,150.116.184.200
4,223.140.252.250
1,49.215.117.179
1,211.75.72.225
3,180.176.100.127
0,223.137.204.140
1,220.142.160.241
0,223.137.204.140
4,180.214.189.136
4,211.21.159.16
5,118.163.88.51
1,42.73.161.162
3,118.160.19.87
3,1.162.129.48
5,42.76.42.51
3,223.140.40.64
3,114.43.193.88
1,36.231.94.180
5,61.70.182.12
1,223.140.80.176
0,36.229.215.36
3,114.42.151.186
3,114.25.27.118
0,118.233.31.251
3,118.160.19.87
4,175.181.177.39
3,114.25.34.56
0,124.109.122.108
1,103.246.210.249
6,118.166.144.116
0,61.70.182.12
3,118.160.19.87
1,1.161.165.206
0,124.109.122.108
3,101.138.121.202
2,180.218.202.25
1,114.43.100.121
2,36.230.209.150
1,36.230.154.92
5,118.160.124.151
1,36.225.111.20
0,118.168.56.150
0,106.105.117.137
2,1.161.29.27
1,118.161.14.85
1,123.194.148.237
0,114.43.152.116
3,1.169.151.40
4,36.231.25.88
5,36.226.90.184
4,180.217.140.68
1,1.171.101.100
3,114.35.52.215
3,59.115.100.123
2,123.193.98.9
0,1.160.93.60
1,114.42.110.19
2,58.115.135.229
2,223.136.175.136
3,223.140.158.164
4,220.129.166.70
3,175.180.243.212
0,1.160.30.201
3,112.104.144.144
1,42.76.232.151
2,223.136.141.174
2,101.127.206.83
4,61.228.39.11
2,223.136.215.208
2,27.242.232.31
2,61.224.113.5
1,125.227.47.221
4,59.125.178.13
5,27.52.224.207
0,59.115.61.102
0,223.140.44.143
4,59.125.178.13
4,220.130.184.157
4,60.248.153.199
1,150.117.207.22
3,114.44.131.128
5,211.23.76.67
3,110.169.128.162
4,101.9.132.245
3,27.52.230.185
1,223.136.166.107
3,220.129.144.29
1,101.138.140.63
0,59.115.61.102
1,42.76.232.151
6,114.136.195.220
1,36.224.226.162
4,59.125.178.13
2,223.136.231.144
3,119.77.197.165
2,1.164.92.64
5,211.20.1.174
1,49.216.242.209
1,101.138.140.63
1,220.130.139.12
2,118.161.68.36
0,223.137.133.23
0,110.28.66.34
4,1.34.126.138
3,61.231.185.104
2,223.136.95.108
1,1.171.180.49
3,59.124.225.3
1,49.217.184.251
3,1.162.214.98
2,223.140.6.94
5,123.194.201.157
1,223.140.54.184
1,180.217.161.32
1,140.131.84.210
3,39.10.68.138
2,223.140.6.94
1,223.140.54.184
4,210.160.8.70
5,223.137.165.202
4,210.70.131.254
2,39.12.104.136
4,145.37.148.63
1,36.227.78.37
4,122.118.35.173
1,140.131.84.210
4,210.160.8.70
4,117.19.215.26
5,211.23.76.67
0,111.71.36.102
2,39.12.133.129
4,59.127.195.1
4,111.248.185.114
5,140.122.53.112
0,101.13.116.119
0,61.70.177.19
3,39.10.68.138
2,140.112.103.54
1,150.116.30.16
3,114.136.4.130
3,111.71.93.184
4,123.193.34.213
1,123.51.163.48
4,211.21.159.16
1,223.136.166.107
1,42.116.102.172
1,220.130.139.12
5,118.163.88.51
2,49.217.18.123
3,180.217.146.187
4,123.193.58.189
0,223.137.139.105
0,61.70.177.19
5,220.135.30.168
2,42.73.78.73
4,1.171.226.186
2,125.230.118.205
5,61.216.154.223
3,111.71.113.100
2,223.140.32.51
2,125.230.118.205
4,114.137.40.50
4,52.27.2.86
4,220.132.8.164
2,61.231.71.134
5,223.136.234.104
4,223.137.5.4
2,61.228.105.211
1,106.105.98.43
1,111.250.56.33
5,39.8.163.118
0,59.115.175.148
5,110.28.194.216
1,42.72.5.52
2,59.125.120.223
1,150.117.207.22
5,27.246.37.252
4,111.248.185.114
1,36.225.15.197
2,111.251.54.44
4,175.96.194.251
5,1.161.45.5
2,39.8.36.224
5,111.240.150.90
0,118.233.80.131
5,1.161.45.5
0,49.219.128.94
5,118.167.208.10
5,111.249.126.182
5,36.229.192.250
1,114.42.110.115
1,36.231.161.131
3,114.34.214.54
1,58.114.74.25
2,118.165.120.54
2,125.230.118.205
1,114.45.51.243
2,39.8.36.224
2,39.8.36.224
1,220.132.8.164
2,223.140.32.51
2,39.8.36.224
2,39.8.36.224
2,39.8.36.224
3,150.116.162.59
2,1.164.83.24
2,1.164.83.24
2,39.8.36.224
2,123.204.135.156
4,210.242.144.78
3,114.43.88.118
5,118.163.88.51
1,1.160.246.107
4,211.21.159.16
3,114.43.88.118
4,210.70.131.254
4,118.167.22.9
2,39.8.36.224
2,39.10.136.176
2,39.8.36.224
2,180.217.134.130
4,36.227.175.160
4,180.217.164.167
3,1.169.93.119
4,118.167.22.9
2,61.62.252.198
0,114.136.160.82
3,223.137.47.39
0,49.219.153.173
2,118.160.127.140
5,175.181.254.124
2,118.160.127.140
2,1.171.154.115
0,49.219.153.173
1,36.230.142.228
2,111.71.8.250
2,111.71.8.250
0,219.85.165.35
4,61.224.56.169
1,1.161.28.53
3,114.43.88.118
5,39.12.202.96
1,118.166.44.27
0,219.85.165.35
2,61.228.43.251
2,1.200.200.50
2,39.8.36.224
2,61.62.20.58
2,101.13.229.116
1,150.117.250.89
6,118.166.136.238
4,118.167.22.9
1,59.115.171.152
3,114.43.88.118
3,1.161.79.168
5,42.73.46.203
1,150.117.207.22
4,118.167.22.9
0,49.216.66.231
6,118.166.136.238
2,36.227.20.19
1,61.64.211.140
4,36.226.175.145
0,101.8.50.12
1,115.43.95.59
5,220.141.167.98
4,123.193.34.213
0,39.8.44.190
0,150.117.217.35
3,1.171.125.55
2,118.150.170.220
1,61.219.51.169
6,118.168.170.231
2,39.8.36.224
0,219.85.165.35
5,39.12.202.96
6,118.168.170.231
5,180.176.96.185
5,1.171.62.91
2,125.230.118.205
2,123.193.197.224
0,119.77.163.76
6,118.168.170.231
4,118.167.22.9
3,49.159.149.148
5,118.165.72.163
5,39.8.163.118
